timestamp_utc	id	decision	alternatives	evidence	verdict	reversibility
2026-09-14T00:00:00Z	D001	Treat the PDF as a search-loop design, not a sufficient production safety proof	Copy the paper gate unchanged; reject the paper entirely	31-page read; SHA-256 eb38452b5d357499ff3a2f7aa8bd7b8c1c1409dbafadaff3624071b2f7b1b302; methods and limitations review	VERIFIED	Planning-only
2026-09-14T00:00:01Z	D002	Use mining, adaptive promotion, and a one-use sealed final audit	Reuse one held-out set every round	The paper evaluates every candidate on held-out data, making that set adaptive; independent review agreed	VERIFIED	Schema and fixtures can change before implementation
2026-09-14T00:00:02Z	D003	Keep Host and Store as sole durable authority	External Python driver; Harbor authority; new daemon	Repository mapping shows Host owns sessions/tools and Store owns protected state, events, receipts, and fencing	VERIFIED	Module extraction remains possible later
2026-09-14T00:00:03Z	D004	Evolve content-addressed declarative behavior manifests only	Automatic Rust/source/dependency/evaluator changes	Threat analysis and all three architecture candidates converged on a compiled immutable authority layer	VERIFIED	Editable allowlist can narrow; expansion requires a new reviewed version
2026-09-14T00:00:04Z	D005	Require case-level paired inference, frozen gates, full composite re-test, and tri-state verdicts	Raw score deltas; attempt-level inference; infer merged safety	Paper limitations, repository CheckStatus precedent, and cross-judge corrections	VERIFIED	Estimator is versioned and replaceable only prospectively
2026-09-14T00:00:05Z	D006	Select architecture Candidate 2 and graft sealed evidence, audit, supersession, fencing, and no-subset-search rules	Candidates 1 or 3 unchanged	Blind scorecard: C2 30/30, C1 29/30, C3 27/30	VERIFIED	Synthesis is planning-only
2026-09-14T00:00:06Z	D007	Use 15 reviewable Conventional Commit phases	One large implementation; 8 or 12 broad phases	Store migration, artifact ACLs, Host binding, caller migration, evidence, statistics, activation, recovery, and operator surfaces need independently verifiable revisions	VERIFIED	Adjacent phases may merge only after tests prove the boundary is unnecessary
2026-09-14T00:00:07Z	D008	Do not enable registry writes until suite partitions, power/noise policy, sealed ACLs, and provider reconciliation are proven	Pick thresholds and fixtures during coding	Open decisions in overview; no runtime implementation evidence exists yet	INCONCLUSIVE	Shadow mode remains available
2026-09-14T00:00:08Z	D009	Make evaluation cohorts and their query/error ledgers Store-global across campaigns	Reset ledgers for each campaign; reuse a held-out set	Adversarial statistical review found cross-campaign reuse would evade multiplicity and audit retirement	VERIFIED	New non-overlapping cohorts may be committed prospectively
2026-09-14T00:00:09Z	D010	Represent mining, adaptive promotion, and final audit as non-interchangeable dataset capabilities	Use one generic evidence reference	Information-flow review found a generic type would permit confirmation evidence to feed search	VERIFIED	New roles require a prospective protocol version
2026-09-14T00:00:10Z	D011	Migrate Store schema and artifact visibility before session binding or sealed evidence writes	Bind first; rely on raw artifact digests	Repository review found schema v1 event-kind constraints and public raw artifact reads incompatible with the planned invariants	VERIFIED	Migration must preserve existing aggregates and artifacts
2026-09-14T00:00:11Z	D012	Classify valid evaluator rejection, attributable crash, budget exhaustion, and protocol timeout as behavioral failure; reserve unknown for unverifiable infrastructure	Treat every crash or timeout as inconclusive	Adversarial review found the broad unknown category lets weak candidates hide failures	VERIFIED	Taxonomy is frozen per evaluation protocol
2026-09-14T00:00:12Z	D013	Do not promise exactly-once external execution or payment	Blind retry; claim exactly-once effects	Current native Docker and provider interfaces cannot always recover a completed external result after Host death; safe version 1 behavior is inspect/collect/fence where supported, otherwise terminal unknown with conservative debit	VERIFIED	Transports can strengthen guarantees prospectively
2026-09-14T00:00:13Z	D014	Migrate interactive session authority to the durable Host independently of Harbor	Wait for Harbor; keep client-assembled privileged instructions	Repository inspection shows the Host already owns durable sessions and Harbor is not required for admission or binding	VERIFIED	Harbor may later implement the same transport contract
2026-09-14T00:00:14Z	D015	Treat plan integrity and implementation evidence as separate verdicts	Claim runtime readiness from a reviewed design	Twenty plan artifacts, fifteen phase structures, relative links, TSV shape, exact test-target commands, path hygiene, and whitespace were checked; no production code or Rust tests were run	VERIFIED	Implementation and production enablement remain INCONCLUSIVE until their phase gates pass
